DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,
1945-09-11,Alfredo DE ANGELIS,Soy un arlequín,Carlos Dante,TANGO,Enrique Santos Discépolo,Enrique Santos Discépolo,ANGELIS,
1945-10-29,Alfredo DE ANGELIS,Mentiras piadosas,Carlos Dante,TANGO,Miguel Nijensohn y Pedro Héctor Pandolfi,Carlos Marín,ANGELIS,
1945-10-30,Alfredo DE ANGELIS,Ivón,Julio Martel,TANGO,Luis Visca,Horacio Sanguinetti,ANGELIS,
1945-11-13,Alfredo DE ANGELIS,Del pasado,Carlos Dante y Julio Martel,MILONGA,Alfredo Marino,Alfredo Marino,ANGELIS,
1945-11-13,Alfredo DE ANGELIS,Para qué te quiero tanto,Carlos Dante,TANGO,Juan Larenza,Cátulo Castillo,ANGELIS,
1945-12-13,Alfredo DE ANGELIS,Aqui he venido a cantar,Julio Martel,TANGO,Fulvio Salamanca,Carlos Bahr,ANGELIS,
1945-12-13,Alfredo DE ANGELIS,Sirva otra copa,Carlos Dante,TANGO,Arturo Gallucci,José Rótulo,ANGELIS,
1946-01-07,Alfredo DE ANGELIS,El entrerriano,,TANGO,Rosendo Mendizabal,Homero Exposito,ANGELIS,
1946-01-07,Alfredo DE ANGELIS,Pobre flor,Carlos Dante y Julio Martel,VALS,Luis Mottolese,Víctor Feliciano Spíndola,ANGELIS,
1946-03-01,Alfredo DE ANGELIS,Carnaval,Carlos Dante,TANGO,Anselmo Aieta,Francisco García Jiménez,ANGELIS,
1946-03-01,Alfredo DE ANGELIS,Hoy al recordarla,Julio Martel,TANGO,José Canet,José Canet,ANGELIS,
1946-03-29,Alfredo DE ANGELIS,Para mí lo mismo da,Carlos Dante,TANGO,Alberto Talián y Eduardo Talián,Santiago Adamini,ANGELIS,
1946-03-29,Alfredo DE ANGELIS,Y no volvió,Julio Martel,TANGO,Carlos Cubría y Héctor Gentile,José Rótulo,ANGELIS,
1946-04-26,Alfredo DE ANGELIS,El mayoral del tranvía,Julio Martel,MILONGA,Carlos Mayel,Francisco Laino,ANGELIS,
1946-04-26,Alfredo DE ANGELIS,La brisa,Carlos Dante,TANGO,Francisco Canaro y Juan Canaro,Juan Andrés Caruso,ANGELIS,
1946-05-24,Alfredo DE ANGELIS,Esa noche,Julio Martel,VALS,Tito Ribero,Carlos Waiss,ANGELIS,
1946-05-24,Alfredo DE ANGELIS,Remolino,Carlos Dante y Julio Martel,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,
1946-06-28,Alfredo DE ANGELIS,Con alma de tango,Carlos Dante,TANGO,Juan D'Arienzo,Carlos Waiss,ANGELIS,
1946-06-28,Alfredo DE ANGELIS,El chañar,,TANGO,Eduardo Arolas,,ANGELIS,
1946-07-11,Alfredo DE ANGELIS,En la noche de tus ojos,Carlos Dante,TANGO,Pacífico Lambertucci,Francisco García Jiménez,ANGELIS,
1946-07-11,Alfredo DE ANGELIS,Melodía gris,Julio Martel,TANGO,Raúl Bruno,Ricardo Duggan,ANGELIS,
1946-08-23,Alfredo DE ANGELIS,La vida me engañó,Julio Martel,TANGO,Alfonso Casini,Marvil,ANGELIS,
1946-08-23,Alfredo DE ANGELIS,Tiene razón amigazo,Julio Martel,TANGO,Alfredo Calabró,Enrique Dizeo,ANGELIS,
1946-09-25,Alfredo DE ANGELIS,Así es Ninón,Carlos Dante,TANGO,Juan Larenza,Marsilio Robles,ANGELIS,
1946-09-25,Alfredo DE ANGELIS,El taladro,,TANGO,?,?,ANGELIS,
1946-11-07,Alfredo DE ANGELIS,Justicia criolla,Carlos Dante,TANGO,Rafael Iriarte,Francisco Brancatti,ANGELIS,
1946-11-07,Alfredo DE ANGELIS,Rosicler,Julio Martel,TANGO,José Basso,Francisco García Jiménez,ANGELIS,
1946-11-29,Alfredo DE ANGELIS,Oro muerto (Jirón porteño),Julio Martel,TANGO,Juan Raggi y Julio Navarrine,Juan Raggi,ANGELIS,
1946-11-29,Alfredo DE ANGELIS,Qué lindo es estar metido,Carlos Dante,TANGO,Enrique Delfino,Pascual Contursi,ANGELIS,
1946-12-13,Alfredo DE ANGELIS,Yo también carrero fui,Julio Martel,TANGO,Héctor Marcó,Héctor Marcó,ANGELIS,
1946-12-27,Alfredo DE ANGELIS,Adios marinero,Carlos Dante y Julio Martel,TANGO,Arturo Gallucci,Reinaldo Yiso,ANGELIS,
