"id","slug","title","description","channel_title","channel_id","video_count","imported","videos_id","user_id","created_at","updated_at"
104,"PL160DB772524DF1AD","Munich Tango Festival","A collection of videos from the Munich Tango Festival, featuring Roberto Herrera with Tamara Bisceglia and El Flaco Dany with Silvina Valz.","tangovals","UCx02W1irq55f7aPZykRnwiA","8",TRUE,,,"2021-01-25 22:07:13.514731","2021-01-25 22:44:04.205888"
105,"PLD8A4EE84E0B28904","Chicago tango dancers","this playlist will have a collection of videos from local Chicagoland tango scene.","russianAlexei","UCALsEKjhBqx4it424J2Aqgw","9",TRUE,,,"2021-01-25 22:07:13.522005","2021-01-25 22:38:37.896917"
106,"PLLBqYNuQswIN7hracDdK647qVI6aYDXK_","Argentine Tango performance","","Leo Doan","UCxzbRTvng-pwNsEAAGzgrew","42",TRUE,,,"2021-01-25 22:07:13.528066","2021-01-25 22:30:09.477104"
107,"PLoYWzYClvNot_mpXaoQD37hjEA-0yogYu","Tango - Javier Andrea - Performance","","Wojciech Maslon","UCEpoNTVuArAcR8wazbnwU8A","249",TRUE,,,"2021-01-25 22:07:13.535107","2021-01-25 22:30:14.706412"
108,"PL04Let2HW4KE6cDv5CDP9eZsDSbs8peNA","Tango/Vals Performances","","Graham Greene","UCLY-b7FGTpkpCvvV9_vaiqg","25",TRUE,,,"2021-01-25 22:07:13.543285","2021-01-25 22:38:39.003791"
109,"PL5F83EAC199679EC9","Tango","","Rex Boyd","UCZw18PaebhbAC1_LeBf8UKw","13",TRUE,,,"2021-01-25 22:07:13.551646","2021-01-25 22:30:42.053407"
110,"PL8A7E86390F91C5F0","Tango","My Favorite Tango Videos","sdtango","UCiR_fT6WB8ApCw-OqJg52yQ","33",TRUE,,,"2021-01-25 22:07:13.564318","2021-01-25 22:30:43.401415"
111,"PLfgTSwqDrWAkJixg8hK52lS-iKxYCR4lK","tango","","Alicia Chan","UCmwFBXM2VUqr5cKC_bi_O1A","17",TRUE,,,"2021-01-25 22:07:13.576355","2021-01-25 22:38:41.705438"
112,"PL5c4heUQgIGM73H1TBaEg1WRdrvoIwI9H","tango","","Mikkel Thompson","UCMp3fPfuvjYdOHNJ0qrg9bw","6",TRUE,,,"2021-01-25 22:07:13.585602","2021-01-25 22:30:46.200536"
113,"PLF9uIfmuCCMjk2-eLAFXL0wQNKxszGl6g","1. TANGO PERFORMANCES","","Love4tango","UCQHjRWOpu9W1XdVv89gVyxg","127",TRUE,,,"2021-01-25 22:07:13.604103","2021-01-25 22:30:46.901486"
114,"PL53D9F776448D6FB6","Tango shows ( dance)","Shows of tango dancers worldwide","tanguero13","UCjOQmF5CUHWGaJnF1d1hkKQ","20",TRUE,,,"2021-01-25 22:07:13.619998","2021-01-25 22:38:43.634316"
115,"PLC0E3E66472883457","Portland ValenTango 2009","Performances at Portland ValenTango 2009 festival danced by instructor couples that taught workshops. Recorded on February 14-15, 2009.","dancerfromsoul","UCv4OwDvK9IC9VzeMLLYEZtg","7",TRUE,,,"2021-01-25 22:07:13.649149","2021-01-25 22:38:45.761653"
116,"PL6323A317E747E22D","Tango dance","Tango dance","Francesco Barbieri","UCtI-KNoqC3SCHT9bqRbvHSw","62",TRUE,,,"2021-01-25 22:07:13.664649","2021-01-25 22:30:59.560385"
117,"PLFC6D86E25C6BE4D5","TANGO","","Liz Cramer","UCSwZbBTpm2wEgZUiRzJwaCw","11",TRUE,,,"2021-01-25 22:07:13.690007","2021-01-25 22:31:05.62633"
