Genre,Title,Artist
Vals,Valsecito,Miguel Caló
Tango,Verdemar,Miguel Caló
Tango,A Villoldo,Miguel Caló
Tango,Voluntad,Miguel Caló
Tango,Y te necesito tanto,Miguel Caló
Tango,Ya sale el tren,Miguel Caló
Tango,Yira yira,Miguel Caló
Tango,Yo,Miguel Caló
Tango,Yo soy el tango,Miguel Caló
Tango,Yo también soñe,Miguel Caló
Tango,Yuyo verde,Miguel Caló
Tango,Abuelita,Francisco Canaro
Tango,Acabala,Francisco Canaro
Tango,Acacias,Francisco Canaro
Vals,Aclamacion,Francisco Canaro
Tango,Acuarelita del arrabal,Francisco Canaro
Vals,Adelaida,Francisco Canaro
Tango,Adios Argentina,Francisco Canaro
Tango,Adios Juventud,Francisco Canaro
Tango,Adios muchachos,Francisco Canaro
Tango,Adios Pampa mia,Francisco Canaro
Tango,Adios que te vaya bien,Francisco Canaro
Tango,Adonde queres que vaya,Francisco Canaro
Tango,Agua bendita,Francisco Canaro
Tango,Ahi va el dulce,Francisco Canaro
Tango,Al compas del corazon,Francisco Canaro
Tango,Al subir al bajar,"Canaro, Francisco"
Tango,Alegria,"Canaro, Francisco"
Tango,Alfredo,"Canaro, Francisco"
Tango,Algun dia te dire,"Canaro, Francisco"
Tango,Alhaja falsa,"Canaro, Francisco"
Vals,Alla en el monte,Francisco Canaro
Tango,Alma de bohemio,Francisco Canaro
Tango,Alma del bandoneon,Francisco Canaro
Milonga,Alma porteña,Francisco Canaro
Tango,Alma tanguera,Francisco Canaro
Tango,Amando en silencio,Francisco Canaro
Vals,Amante soñador,Francisco Canaro
Vals,Amemonos,Francisco Canaro
Tango,Amigablemente,Francisco Canaro
Tango,Amigaso,Francisco Canaro
Tango,Amor,Francisco Canaro
Vals,Amor amor veni,Francisco Canaro
Vals,Amor bohemio,Francisco Canaro
Tango,Amor de payaso,Francisco Canaro
Vals,Amor imposible,Francisco Canaro
Vals,Amor pagano,"Canaro, Francisco"
Vals,Amor y primavera,"Canaro, Francisco"
Tango,Amores de carnaval,"Canaro, Francisco"
Tango,Amurado,"Canaro, Francisco"
Vals,Anoche soñe,"Canaro, Francisco"
Tango,Aparcero,Francisco Canaro
Vals,Apasionadamente,Francisco Canaro
Tango,Aquel cuartito de la pension,Francisco Canaro
Tango,Aquel novio,Francisco Canaro
Tango,Aqui parado en la esquina,Francisco Canaro
Tango,Araca la cana,Francisco Canaro
Tango,Arco iris,Francisco Canaro
Tango,Arrabal amargo,Francisco Canaro
Tango,Arrabalera,Francisco Canaro
Tango,Arrabalero,Francisco Canaro
Tango,Arrepentida,Francisco Canaro
Tango,Articulo de lujo,Francisco Canaro
Tango,Asi canto yo,Francisco Canaro
Tango,Asi es el mundo,Francisco Canaro
Tango,Asi me dejaste,Francisco Canaro
Tango,Asi se baila el tango,"Canaro, Francisco"
Tango,Atardecer,"Canaro, Francisco"
Tango,Atorrante,"Canaro, Francisco"
Tango,Aunque no lo crean,"Canaro, Francisco"
Vals,Ausencia,"Canaro, Francisco"
Tango,Ave de paso,Francisco Canaro
Tango,Ave maria,Francisco Canaro
Tango,Ave sin rumbo,Francisco Canaro
Vals,Ay mi nena,Francisco Canaro
Tango,Ay que lindo es amar,Francisco Canaro
Vals,Azucena,Francisco Canaro
Tango,Azulidad,Francisco Canaro
Vals,Bailando me diste un beso,Francisco Canaro
Tango,Bailarin compadrito,Francisco Canaro
Tango,Bajo cuerda,Francisco Canaro
Vals,Bajo el Cielo Azul,Francisco Canaro
Tango,Bajo tierra,Francisco Canaro
Tango,Bandoneon arrabalero,Francisco Canaro
Tango,Bandoneon de mis amores,Francisco Canaro
Tango,Bar exposicion,Francisco Canaro
Tango,Barba e' choclo,"Canaro, Francisco"
Tango,Barcarola del Riachuelo,"Canaro, Francisco"
Tango,Barra querida,"Canaro, Francisco"
Tango,Bati que haces,"Canaro, Francisco"
Tango,Bebamos juntos,"Canaro, Francisco"
Vals,Bells of Hawaii,Francisco Canaro
Tango,Bernabe la fiera,Francisco Canaro
Tango,Berretines milongueros,Francisco Canaro
Tango,Besame en la boca,Francisco Canaro
Tango,Besame mi amor,Francisco Canaro
Tango,Beso ingrato,Francisco Canaro
Tango,Beso su mano mi dama,Francisco Canaro
Tango,Besos,Francisco Canaro
Tango,Bijou,Francisco Canaro
Tango,Bodas de oro con el tango,Francisco Canaro
Tango,Borracho por que digo la verdad,Francisco Canaro
Tango,Borron de niebla,Francisco Canaro
