DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,,,,
6/28/46,Alfredo DE ANGELIS,El chañar,,TANGO,Eduardo Arolas,,ANGELIS,,,,
7/11/46,Alfredo DE ANGELIS,En la noche de tus ojos,Carlos Dante,TANGO,Pacífico Lambertucci,Francisco García Jiménez,ANGELIS,,,,
7/11/46,Alfredo DE ANGELIS,Melodía gris,Julio Martel,TANGO,Raúl Bruno,Ricardo Duggan,ANGELIS,,,,
8/23/46,Alfredo DE ANGELIS,La vida me engañó,Julio Martel,TANGO,Alfonso Casini,Marvil,ANGELIS,,,,
8/23/46,Alfredo DE ANGELIS,Tiene razón amigazo,Julio Martel,TANGO,Alfredo Calabró,Enrique Dizeo,ANGELIS,,,,
9/25/46,Alfredo DE ANGELIS,Así es Ninón,Carlos Dante,TANGO,Juan Larenza,Marsilio Robles,ANGELIS,,,,
9/25/46,Alfredo DE ANGELIS,El taladro,,TANGO,?,?,ANGELIS,,,,
11/7/46,Alfredo DE ANGELIS,Justicia criolla,Carlos Dante,TANGO,Rafael Iriarte,Francisco Brancatti,ANGELIS,,,,
11/7/46,Alfredo DE ANGELIS,Rosicler,Julio Martel,TANGO,José Basso,Francisco García Jiménez,ANGELIS,,,,
11/29/46,Alfredo DE ANGELIS,Oro muerto (Jirón porteño),Julio Martel,TANGO,Juan Raggi y Julio Navarrine,Juan Raggi,ANGELIS,,,,
11/29/46,Alfredo DE ANGELIS,Qué lindo es estar metido,Carlos Dante,TANGO,Enrique Delfino,Pascual Contursi,ANGELIS,,,,
12/13/46,Alfredo DE ANGELIS,Yo también carrero fui,Julio Martel,TANGO,Héctor Marcó,Héctor Marcó,ANGELIS,,,,
12/27/46,Alfredo DE ANGELIS,Adios marinero,Carlos Dante y Julio Martel,TANGO,Arturo Gallucci,Reinaldo Yiso,ANGELIS,,,,
12/27/46,Alfredo DE ANGELIS,Chorra,Julio Martel,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo,ANGELIS,,,,
12/27/46,Alfredo DE ANGELIS,Mano a mano,Carlos Dante,TANGO,Carlos Gardel y José Razzano,Celedonio Flores,ANGELIS,,,,
3/20/47,Alfredo DE ANGELIS,Aleli,Carlos Dante,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,,,,
3/20/47,Alfredo DE ANGELIS,Yo también reí,Julio Martel,TANGO,Carlos Cubría y Héctor Gentile,José Rótulo,ANGELIS,,,,
4/23/47,Alfredo DE ANGELIS,A su memoria,Carlos Dante,VALS,Antonio Sureda,Homero Manzi,ANGELIS,,,,
4/23/47,Alfredo DE ANGELIS,Entrá sin miedo hermana,Julio Martel,TANGO,Raúl de los Hoyos,Mario Flores,ANGELIS,,,,
